User: USER,Path: C:\Program Files (x86)\BMG\Omega\User\Data\,Test run no.: 12203,
Test name: HB-Resazurin-384,Date: 01/12/2020,Time: 10:43:54,
ID1: Nalm6wt_AxB-FDA-A-03_n1_r2,,,
Fluorescence (FI),,,
,,,
Well Row,Well Col,Content,Raw Data (544/590)
A,1,Sample X1,214279
A,2,Sample X2,216614
A,3,Sample X3,219453
A,4,Sample X4,218093
A,5,Sample X5,213804
A,6,Sample X6,220000
A,7,Sample X7,191540
A,8,Sample X8,212964
A,9,Sample X9,204602
A,10,Sample X10,210555
A,11,Sample X11,213590
A,12,Sample X12,213928
A,13,Sample X13,218836
A,14,Sample X14,217091
A,15,Sample X15,209803
A,16,Sample X16,211096
A,17,Sample X17,209947
A,18,Sample X18,212699
A,19,Sample X19,212472
A,20,Sample X20,211426
A,21,Sample X21,211781
A,22,Sample X22,211610
A,23,Sample X23,210288
A,24,Sample X24,209948
B,1,Sample X25,213090
B,2,Sample X26,216359
B,3,Sample X27,123548
B,4,Sample X28,221660
B,5,Sample X29,218144
B,6,Sample X30,215876
B,7,Sample X31,211717
B,8,Sample X32,212885
B,9,Sample X33,214591
B,10,Sample X34,216349
B,11,Sample X35,214393
B,12,Sample X36,216506
B,13,Sample X37,217798
B,14,Sample X38,217771
B,15,Sample X39,214623
B,16,Sample X40,214810
B,17,Sample X41,212058
B,18,Sample X42,215367
B,19,Sample X43,215663
B,20,Sample X44,217118
B,21,Sample X45,216138
B,22,Sample X46,217523
B,23,Sample X47,214537
B,24,Sample X48,209588
C,1,Sample X49,211415
C,2,Sample X50,219990
C,3,Sample X51,216488
C,4,Sample X52,214918
C,5,Sample X53,227109
C,6,Sample X54,31602
C,7,Sample X55,27835
C,8,Sample X56,27546
C,9,Sample X57,28997
C,10,Sample X58,207147
C,11,Sample X59,28849
C,12,Sample X60,211090
C,13,Sample X61,210274
C,14,Sample X62,209501
C,15,Sample X63,213987
C,16,Sample X64,209238
C,17,Sample X65,208292
C,18,Sample X66,211102
C,19,Sample X67,211696
C,20,Sample X68,211164
C,21,Sample X69,210334
C,22,Sample X70,211143
C,23,Sample X71,211616
C,24,Sample X72,205339
D,1,Sample X73,214807
D,2,Sample X74,219480
D,3,Sample X75,223219
D,4,Sample X76,214480
D,5,Sample X77,225978
D,6,Sample X78,218025
D,7,Sample X79,42132
D,8,Sample X80,205238
D,9,Sample X81,205724
D,10,Sample X82,206836
D,11,Sample X83,207551
D,12,Sample X84,206332
D,13,Sample X85,205122
D,14,Sample X86,205067
D,15,Sample X87,205855
D,16,Sample X88,204766
D,17,Sample X89,205380
D,18,Sample X90,207228
D,19,Sample X91,206668
D,20,Sample X92,209004
D,21,Sample X93,209091
D,22,Sample X94,28422
D,23,Sample X95,53619
D,24,Sample X96,48514
E,1,Sample X97,208859
E,2,Sample X98,217414
E,3,Sample X99,214850
E,4,Sample X100,210666
E,5,Sample X101,30121
E,6,Sample X102,30988
E,7,Sample X103,204292
E,8,Sample X104,205363
E,9,Sample X105,32950
E,10,Sample X106,212481
E,11,Sample X107,212484
E,12,Sample X108,217954
E,13,Sample X109,200007
E,14,Sample X110,76780
E,15,Sample X111,199048
E,16,Sample X112,200149
E,17,Sample X113,204994
E,18,Sample X114,202133
E,19,Sample X115,107561
E,20,Sample X116,169463
E,21,Sample X117,202426
E,22,Sample X118,204748
E,23,Sample X119,55839
E,24,Sample X120,40760
F,1,Sample X121,28855
F,2,Sample X122,216321
F,3,Sample X123,214314
F,4,Sample X124,212763
F,5,Sample X125,30548
F,6,Sample X126,30608
F,7,Sample X127,201402
F,8,Sample X128,202069
F,9,Sample X129,197778
F,10,Sample X130,204463
F,11,Sample X131,210444
F,12,Sample X132,208751
F,13,Sample X133,200609
F,14,Sample X134,199308
F,15,Sample X135,196307
F,16,Sample X136,197638
F,17,Sample X137,196624
F,18,Sample X138,200643
F,19,Sample X139,195972
F,20,Sample X140,201832
F,21,Sample X141,28608
F,22,Sample X142,35748
F,23,Sample X143,41640
F,24,Sample X144,37360
G,1,Sample X145,206406
G,2,Sample X146,212129
G,3,Sample X147,209653
G,4,Sample X148,133092
G,5,Sample X149,29887
G,6,Sample X150,121736
G,7,Sample X151,196831
G,8,Sample X152,194972
G,9,Sample X153,33472
G,10,Sample X154,33203
G,11,Sample X155,190441
G,12,Sample X156,121090
G,13,Sample X157,188188
G,14,Sample X158,189438
G,15,Sample X159,132336
G,16,Sample X160,76246
G,17,Sample X161,192350
G,18,Sample X162,194474
G,19,Sample X163,159592
G,20,Sample X164,197471
G,21,Sample X165,28238
G,22,Sample X166,199351
G,23,Sample X167,27697
G,24,Sample X168,27439
H,1,Sample X169,204857
H,2,Sample X170,210243
H,3,Sample X171,206564
H,4,Sample X172,205567
H,5,Sample X173,201469
H,6,Sample X174,137597
H,7,Sample X175,195153
H,8,Sample X176,192643
H,9,Sample X177,199380
H,10,Sample X178,208090
H,11,Sample X179,189511
H,12,Sample X180,191244
H,13,Sample X181,189532
H,14,Sample X182,190488
H,15,Sample X183,193920
H,16,Sample X184,193294
H,17,Sample X185,195096
H,18,Sample X186,194688
H,19,Sample X187,196865
H,20,Sample X188,199297
H,21,Sample X189,200717
H,22,Sample X190,205331
H,23,Sample X191,27538
H,24,Sample X192,27083
I,1,Sample X193,193560
I,2,Sample X194,205357
I,3,Sample X195,214120
I,4,Sample X196,166664
I,5,Sample X197,202524
I,6,Sample X198,199986
I,7,Sample X199,196173
I,8,Sample X200,193641
I,9,Sample X201,80725
I,10,Sample X202,192553
I,11,Sample X203,184836
I,12,Sample X204,189042
I,13,Sample X205,186510
I,14,Sample X206,187991
I,15,Sample X207,188638
I,16,Sample X208,189248
I,17,Sample X209,28037
I,18,Sample X210,132284
I,19,Sample X211,188251
I,20,Sample X212,199624
I,21,Sample X213,212799
I,22,Sample X214,217666
I,23,Sample X215,27110
I,24,Sample X216,26892
J,1,Sample X217,200288
J,2,Sample X218,204401
J,3,Sample X219,212935
J,4,Sample X220,209504
J,5,Sample X221,202837
J,6,Sample X222,202542
J,7,Sample X223,197469
J,8,Sample X224,196701
J,9,Sample X225,196160
J,10,Sample X226,199182
J,11,Sample X227,191116
J,12,Sample X228,193326
J,13,Sample X229,186397
J,14,Sample X230,168383
J,15,Sample X231,195022
J,16,Sample X232,206098
J,17,Sample X233,189656
J,18,Sample X234,204922
J,19,Sample X235,198708
J,20,Sample X236,201128
J,21,Sample X237,216779
J,22,Sample X238,243958
J,23,Sample X239,27399
J,24,Sample X240,26520
K,1,Sample X241,29613
K,2,Sample X242,29251
K,3,Sample X243,217577
K,4,Sample X244,116100
K,5,Sample X245,219328
K,6,Sample X246,199935
K,7,Sample X247,204853
K,8,Sample X248,202036
K,9,Sample X249,201812
K,10,Sample X250,202877
K,11,Sample X251,190368
K,12,Sample X252,191992
K,13,Sample X253,192648
K,14,Sample X254,192646
K,15,Sample X255,204212
K,16,Sample X256,202860
K,17,Sample X257,32560
K,18,Sample X258,208107
K,19,Sample X259,200100
K,20,Sample X260,201582
K,21,Sample X261,28763
K,22,Sample X262,206342
K,23,Sample X263,26515
K,24,Sample X264,26987
L,1,Sample X265,227909
L,2,Sample X266,206691
L,3,Sample X267,217550
L,4,Sample X268,213362
L,5,Sample X269,202055
L,6,Sample X270,203375
L,7,Sample X271,207125
L,8,Sample X272,205859
L,9,Sample X273,206848
L,10,Sample X274,207160
L,11,Sample X275,196432
L,12,Sample X276,198301
L,13,Sample X277,188285
L,14,Sample X278,195164
L,15,Sample X279,208544
L,16,Sample X280,208536
L,17,Sample X281,33471
L,18,Sample X282,67586
L,19,Sample X283,205123
L,20,Sample X284,206896
L,21,Sample X285,209880
L,22,Sample X286,209900
L,23,Sample X287,28004
L,24,Sample X288,27462
M,1,Sample X289,201061
M,2,Sample X290,205766
M,3,Sample X291,205566
M,4,Sample X292,206505
M,5,Sample X293,207295
M,6,Sample X294,187496
M,7,Sample X295,195223
M,8,Sample X296,183721
M,9,Sample X297,200708
M,10,Sample X298,30117
M,11,Sample X299,33404
M,12,Sample X300,144109
M,13,Sample X301,216146
M,14,Sample X302,212959
M,15,Sample X303,198683
M,16,Sample X304,203362
M,17,Sample X305,28114
M,18,Sample X306,29983
M,19,Sample X307,204175
M,20,Sample X308,206632
M,21,Sample X309,209137
M,22,Sample X310,211966
M,23,Sample X311,29942
M,24,Sample X312,28549
N,1,Sample X313,205591
N,2,Sample X314,206534
N,3,Sample X315,204484
N,4,Sample X316,206802
N,5,Sample X317,207499
N,6,Sample X318,205439
N,7,Sample X319,27858
N,8,Sample X320,27566
N,9,Sample X321,28230
N,10,Sample X322,207755
N,11,Sample X323,213396
N,12,Sample X324,218150
N,13,Sample X325,221086
N,14,Sample X326,219225
N,15,Sample X327,28115
N,16,Sample X328,204741
N,17,Sample X329,205262
N,18,Sample X330,208925
N,19,Sample X331,27901
N,20,Sample X332,211159
N,21,Sample X333,212513
N,22,Sample X334,215171
N,23,Sample X335,209667
N,24,Sample X336,207187
O,1,Sample X337,205146
O,2,Sample X338,205830
O,3,Sample X339,28608
O,4,Sample X340,193087
O,5,Sample X341,202843
O,6,Sample X342,205995
O,7,Sample X343,30458
O,8,Sample X344,29995
O,9,Sample X345,58288
O,10,Sample X346,209684
O,11,Sample X347,200230
O,12,Sample X348,209815
O,13,Sample X349,211368
O,14,Sample X350,222003
O,15,Sample X351,211176
O,16,Sample X352,212928
O,17,Sample X353,205920
O,18,Sample X354,209605
O,19,Sample X355,213640
O,20,Sample X356,214274
O,21,Sample X357,213642
O,22,Sample X358,215316
O,23,Sample X359,209414
O,24,Sample X360,210659
P,1,Sample X361,26388
P,2,Sample X362,27242
P,3,Sample X363,200812
P,4,Sample X364,204053
P,5,Sample X365,28453
P,6,Sample X366,206268
P,7,Sample X367,28486
P,8,Sample X368,196537
P,9,Sample X369,203626
P,10,Sample X370,208399
P,11,Sample X371,208940
P,12,Sample X372,210498
P,13,Sample X373,211621
P,14,Sample X374,211063
P,15,Sample X375,203352
P,16,Sample X376,208069
P,17,Sample X377,203386
P,18,Sample X378,208790
P,19,Sample X379,210313
P,20,Sample X380,210811
P,21,Sample X381,209068
P,22,Sample X382,210056
P,23,Sample X383,207664
P,24,Sample X384,208662
